Minisector,STR,KVY,Fastest
0,271.29917128707484,275.86728559483686,KVY
1,291.4311856409019,294.2444477127281,KVY
2,289.25038882133333,289.70301994624845,KVY
3,181.31051166773628,179.35244975990733,STR
4,123.40166649010966,128.00854487601248,KVY
5,236.83093555977305,239.43858554718946,KVY
6,280.5622191634804,280.9157941181609,KVY
7,297.6505783555555,284.96968864468863,STR
8,184.04693897223765,171.87567435556988,STR
9,140.4151092735206,142.31827741138483,KVY
10,249.39350542111444,251.68025921124072,KVY
11,285.25727931750384,284.84965430138277,STR
12,298.1837617859048,294.50599995733336,STR
13,278.781646510483,281.82399255091576,KVY
14,298.02302403047617,297.9545831111111,STR
15,302.9518529128885,301.1100714710083,STR
16,253.19160987584718,249.30447857708074,STR
17,220.01008137922355,223.52831469445997,KVY
18,279.17885846913583,280.68580942216516,KVY
19,305.20713608861126,302.4680445848695,STR
20,312.0032608,307.1661495784679,STR
21,226.5167706518294,219.89554845172012,STR
22,257.40379973601864,256.62241327816093,STR
23,136.49415639439167,136.93956982473796,KVY
24,209.8562730165405,216.13968299254853,KVY
