Minisector,RIC,OCO,Fastest
0,282.29629777777774,285.2504916078431,OCO
1,129.621403562477,123.68855870789199,RIC
2,167.62634856208163,159.89655040000002,RIC
3,223.36729226666665,211.31068634531522,RIC
4,170.31273782623765,159.4989729681445,RIC
5,246.38662640072985,244.06558440715253,RIC
6,219.66704766060604,205.73181480000002,RIC
7,139.23211178719222,134.4975149343952,RIC
8,235.69669990893289,235.11124874666666,RIC
9,275.87328409635853,279.6578337961086,OCO
10,278.68578560000003,287.89947946666666,OCO
11,146.74455863988547,145.1763651417084,RIC
12,223.31422958951515,224.7536462495675,OCO
13,269.96966708891733,273.0391736952381,OCO
14,270.73235312941176,274.69673215157485,OCO
15,106.71908880653383,99.70660212169943,RIC
16,220.74395749391502,220.02669774031253,RIC
17,273.71214307220976,277.5917315,OCO
18,294.5319841930159,300.22750016000003,OCO
19,304.72281098140905,313.29801603047616,OCO
20,310.099000010898,320.6350256035636,OCO
21,292.5174098,286.4617627607843,RIC
22,159.39902986666667,145.56733952864485,RIC
23,237.9640354245614,231.927460300839,RIC
24,279.8270760309385,279.71481517037034,RIC
25,291.03333333333336,,RIC
