Minisector,BOT,STR,Fastest
0,285.03783059504764,289.4317739342443,STR
1,164.51712161143539,156.53977192260584,BOT
2,155.0219409027613,150.5271768,BOT
3,220.83378230204082,225.1814412028961,STR
4,280.2687504484848,283.6622703054728,STR
5,284.01840146666666,289.8804329937888,STR
6,149.16235345053673,143.6574790141134,BOT
7,144.82990567757577,141.3106336609524,BOT
8,145.2354829326257,148.17254594896937,STR
9,192.76228353960636,179.90834776538512,BOT
10,130.7313900345967,132.3570342443734,STR
11,122.9382293425685,127.27014410630518,STR
12,174.28531037877653,154.79684459428572,BOT
13,268.0104169333333,262.3751046518403,BOT
14,285.43985658863744,286.23693173333334,STR
15,155.9459785738849,159.57772142947846,STR
16,203.15727536625624,213.66763572175296,STR
17,183.33177617447566,161.8305127935357,BOT
18,273.0990336976566,265.85858210133335,BOT
19,293.2699529293802,293.38124984242427,STR
20,308.00122190828546,307.3002193451247,BOT
21,316.7425739468271,316.4060416,BOT
22,317.5761056103422,319.4795832533333,STR
23,322.77893511111114,321.02291658666667,BOT
24,324.13172607238096,319.77625008,BOT
25,320.0,315.56666666666666,BOT
