Minisector,BOT,GAS,Fastest
0,275.71625026545854,276.9552913612443,GAS
1,288.6974303825123,294.84404154905206,GAS
2,288.5151620029283,292.6953653576609,GAS
3,183.58537151826408,184.90655426355286,GAS
4,138.81535320837335,130.0918009078397,BOT
5,244.5397075942721,242.3211141451966,BOT
6,282.606285624788,283.6035505978121,GAS
7,293.57367156567926,289.7481889855072,BOT
8,191.6559800079815,178.05682999060787,BOT
9,154.90396246326546,145.27111280438749,BOT
10,254.84580071460948,255.7707521961409,GAS
11,284.25519376008657,286.81778430554107,GAS
12,294.0973015890966,296.86128007213773,GAS
13,289.0307594020967,284.65652169275364,BOT
14,299.3324386736091,300.07620079796493,GAS
15,297.4203868473116,299.77196632504575,GAS
16,264.29447770077894,254.8566587401419,BOT
17,241.83076652335546,230.01075712185497,BOT
18,282.63835490742605,282.4349233266519,BOT
19,299.964963082036,303.43010316294874,GAS
20,306.87043722151776,306.9309947666291,GAS
21,253.25237165039286,233.34309673502045,BOT
22,267.3553685497707,261.084387084639,BOT
23,140.50167038791304,140.6424047961145,GAS
24,225.51099242138702,215.43722057011416,BOT
25,,258.6812496,GAS
