Minisector,GAS,PER,Fastest
0,293.01091297076607,293.7376369628981,PER
1,303.0576755087719,306.6386588310777,PER
2,287.93030038120156,287.3397515502363,GAS
3,114.05099342065925,110.62432458154619,GAS
4,228.67745593945213,226.42674792949617,GAS
5,265.106759865202,268.65387362965896,PER
6,202.95651849496838,216.59970579512745,PER
7,165.5198981910765,161.06813792224608,GAS
8,193.69369503471182,191.43781695212132,GAS
9,205.25667614581175,210.4789833253565,PER
10,116.65857146531661,112.9818641676267,GAS
11,230.77096191976852,228.49774107309048,GAS
12,115.75550604445729,112.86936087261272,GAS
13,224.3428724798914,216.2436851406938,GAS
14,271.4724071649318,270.9981466215681,GAS
15,220.75898859588833,223.322619501556,PER
16,193.65585746748957,195.12662078688308,PER
17,247.32826652897805,253.48097808695655,PER
18,204.83685090100218,215.10584038974517,PER
19,179.67441698377107,171.03928457700422,GAS
20,266.85788185854324,264.6542693077166,GAS
21,295.16648717809863,293.7036012038095,GAS
22,168.94643359670465,167.82428675038074,GAS
23,207.81231567428364,198.4478872889691,GAS
24,272.7706035079645,271.409958343771,GAS
25,,286.4645834666667,PER
