Minisector,PIA,LEC,Fastest
0,273.68317104110974,269.06624922245305,PIA
1,300.8629564495051,291.02873452013495,PIA
2,307.33037567222,297.73191029826216,PIA
3,121.3977966293976,122.30803990793483,LEC
4,184.12427575134086,183.90997680823068,PIA
5,255.72135764649818,251.5331776549382,PIA
6,132.6365092053457,139.39410148718298,LEC
7,189.49516080328533,196.2908123993957,LEC
8,253.22198208435375,252.74436244798133,PIA
9,278.7325826913851,279.3305799599783,LEC
10,231.10667858388214,236.2977971050293,LEC
11,164.0705433634938,177.07803823731956,LEC
12,185.01443074563377,180.93729031402577,PIA
13,143.86297157855884,147.5649815701786,LEC
14,171.68319991721043,176.10653907574076,LEC
15,160.9304902700748,159.4903393898361,PIA
16,208.58382834659523,203.7813183601468,PIA
17,233.626216301296,232.66708310528824,PIA
18,233.75703873177002,234.73834783131048,LEC
19,234.6409169066667,250.1015469059539,LEC
20,142.93864448685275,134.71142810999805,PIA
21,130.53439089048138,137.91929487273558,LEC
22,160.4645767161354,155.64603208149725,PIA
23,149.65166068690823,145.84660041294396,PIA
24,224.2182306649785,217.96893396710183,PIA
25,250.70909323636363,254.36666533333334,LEC
