Minisector,SAI,STR,Fastest
0,271.234992547297,266.8559150733933,SAI
1,243.74358052867726,272.019241131815,STR
2,111.36754359276395,120.28488105321112,STR
3,165.841985205154,154.66586409018709,SAI
4,176.29425184063408,185.2777183785058,STR
5,208.7504855293773,195.30095716443273,SAI
6,266.81484094342846,265.2392827222039,SAI
7,286.1321148795239,284.05109822704355,SAI
8,192.63587485201464,195.6034722002721,STR
9,127.58895932934908,128.48174641624462,STR
10,128.00711912592325,119.03742806045716,SAI
11,191.80875558767565,174.53126781159787,SAI
12,224.4085954110984,225.82581588409812,STR
13,128.41977364318623,127.5161588662684,SAI
14,145.1874984594664,153.99231022989704,STR
15,120.69772087279686,113.12892924083184,SAI
16,247.5340478422222,245.04139294217606,SAI
17,143.71981136172886,155.81851580975862,STR
18,192.82112973480824,176.62490972342857,SAI
19,120.81442241966468,132.92479147034064,STR
20,127.65145983290621,128.54227308640282,STR
21,120.43731147691997,114.37654002148001,SAI
22,137.57532169604968,129.43038394289093,SAI
23,224.51920189086601,213.8585304671605,SAI
24,234.0008189000397,214.799815167254,SAI
25,,251.96428571428572,STR
