Minisector,ALO,RUS,Fastest
0,300.34304649059743,298.2225074952657,ALO
1,162.03256407871646,164.16274690398532,RUS
2,158.93228480597426,156.87579111975234,ALO
3,230.2731472807619,226.26754047920844,ALO
4,288.7002320267054,284.22683408618514,ALO
5,291.3940707790174,296.97015811091785,RUS
6,144.63442352511518,148.8463316563072,RUS
7,147.0184772564519,152.21851653691493,RUS
8,135.68045711978763,155.86338014476192,RUS
9,186.85174400846668,171.4054020753581,ALO
10,124.44272902090515,134.94650322494118,RUS
11,125.9412727242465,133.0177495040721,RUS
12,174.4695499275759,161.2648178556881,ALO
13,268.6046760808103,265.28781412635493,ALO
14,294.65746034427934,291.33982602708994,ALO
15,150.39341819469888,154.75497933047885,RUS
16,222.0984896196808,222.04475792897247,ALO
17,184.2733372106578,168.05018372074923,ALO
18,274.05283111253425,267.6270223787598,ALO
19,298.6473530729412,293.7257024242424,ALO
20,312.30968167183676,305.59647454358975,ALO
21,321.512156227391,312.9903145907802,ALO
22,326.0190478019048,317.21126052231403,ALO
23,328.88120304601506,318.9291119157895,ALO
24,329.3965311020096,320.07204088163263,ALO
25,,320.0,RUS
