Minisector,VER,RIC,Fastest
0,286.934960551632,302.6686364992577,RIC
1,298.127696,320.1134938146058,RIC
2,303.60737957819845,329.7572157997733,RIC
3,303.85006246760224,322.0835189572623,RIC
4,190.9076958534947,175.45504671930433,VER
5,206.6829539277306,220.0443367585188,RIC
6,244.50143226006267,250.58002109133344,RIC
7,264.8147277367158,267.0046328124728,RIC
8,273.50122014749047,268.2693754133333,VER
9,168.97134939862426,174.6084632997834,RIC
10,224.75841922810233,231.5143546158168,RIC
11,147.56528558678534,145.10577111385237,VER
12,210.7790760216918,221.38787618179856,RIC
13,218.56970543188393,208.1258612732827,VER
14,202.32519365361392,212.99113378542094,RIC
15,247.9193564256595,252.67479157333332,RIC
16,257.73328108847386,262.68699929541015,RIC
17,280.49789898039216,282.2705697857399,RIC
18,185.7951882083341,145.45606641491364,VER
19,140.2715290837434,162.8615381264866,RIC
20,146.05971193605197,152.3419120371141,RIC
21,181.9116015494312,175.0151177583462,VER
22,122.42171489385719,123.20888724772452,RIC
23,209.27774983669246,224.04416336746428,RIC
24,263.82300023683007,267.2477964434484,RIC
