Minisector,RIC,PER,Fastest
0,330.4401903518286,322.7477225672878,RIC
1,345.77773629059726,328.7799242666667,RIC
2,354.6400595657143,324.27536231884056,RIC
3,214.65101976647406,204.48422367029502,RIC
4,114.06438898316948,118.82169515816044,PER
5,263.9444697003173,267.26785714285717,PER
6,301.58909978509445,302.23370931381663,PER
7,320.01666676363635,312.4115942028985,RIC
8,285.46727838495315,278.68605769230766,RIC
9,145.9950447079028,144.68720600806432,RIC
10,222.1818169717217,227.7160558045511,PER
11,215.1611975858379,211.22922077922078,RIC
12,196.38648888612022,199.93836668536414,PER
13,267.0220124222169,267.2798419559601,PER
14,307.0293545126294,305.6855518898535,RIC
15,322.3994943897445,315.4559782956522,RIC
16,264.077931654321,273.11995131503073,PER
17,200.54355684079223,200.40157661981982,RIC
18,267.34783976296296,270.7057249185723,PER
19,307.0891075203159,306.080978226087,RIC
20,322.67673162251083,316.33179738325697,RIC
21,313.73250440082813,309.10471014492754,RIC
22,207.37451375405217,208.79858783589575,PER
23,259.0996216371178,260.77219387755105,PER
24,304.11682683076924,302.9814236,RIC
25,,316.18750079999995,PER
