Minisector,VER,LIN,Fastest
0,316.34120051976106,320.5355003984282,LIN
1,329.7030375938788,346.92376832725887,LIN
2,334.5342040162757,351.8225509746939,LIN
3,312.3937689780947,320.4592025163655,LIN
4,156.08026555974814,144.4424787184724,VER
5,192.1657346457654,178.45041142866685,VER
6,216.53580239338476,208.92376173006704,VER
7,262.85183032549895,259.08081904474165,VER
8,234.07600232218465,236.72056862465283,LIN
9,155.70797207985424,144.371205035192,VER
10,214.52332213022194,201.80290923186757,VER
11,124.90776477529302,120.24368757493953,VER
12,234.00387890894007,231.21799107124883,VER
13,166.28595990815333,157.6640073661421,VER
14,208.68902008698637,208.50265414363017,VER
15,213.1424006148613,209.71914952731242,VER
16,255.07989161443317,257.813343491141,LIN
17,294.37440358976045,290.99512195391355,VER
18,142.92671797643493,135.65258408346588,VER
19,156.5590537210723,153.20198306764408,VER
20,137.97285968306412,128.94810248524277,VER
21,227.80991440876488,220.37941282251714,VER
22,249.22493723579473,249.7011092770585,LIN
23,235.9969967186004,227.79699381770632,VER
24,283.0825452780984,282.42895948952383,VER
