Minisector,OCO,VET,Fastest
0,298.67734055362706,302.7381943111111,VET
1,279.92037037037034,287.3249520395986,VET
2,171.32071414768342,172.45783527414153,VET
3,199.14393936161616,199.17848409339734,VET
4,221.73352863025158,228.17919007122893,VET
5,266.7221666986667,269.26084461751805,VET
6,226.90827808479096,227.04944618666667,VET
7,208.11015646666667,202.1585809857583,OCO
8,164.2249009168254,162.0533000187617,OCO
9,173.37051366290598,176.3643933233083,VET
10,176.1562812631579,181.2621593873814,VET
11,205.06280356979377,204.12978978704382,OCO
12,237.45743996190478,234.58502581935565,OCO
13,164.89841383858985,167.03637808491317,VET
14,244.28445885440556,245.98932697687073,VET
15,271.56457141028574,274.8517310933998,VET
16,265.122487493584,264.17197692221634,OCO
17,257.34221727665727,255.20811168723333,OCO
18,247.7558203823633,249.65154275555557,VET
19,243.53731703363226,248.4504852430335,VET
20,258.47500023466665,261.2373341157103,VET
21,195.48539332387872,194.84481974167363,OCO
22,211.8634175849624,220.77694013161917,VET
23,273.20523591587664,276.75910927370603,VET
24,291.6198165904762,294.542935568265,VET
25,,299.98333297777776,VET
