Minisector,TSU,HAM,Fastest
0,289.9369453657143,297.7797956152749,HAM
1,163.5627567217516,163.96248617642917,HAM
2,156.13202498388694,155.49906231012724,TSU
3,238.4047651879243,229.13838681429846,TSU
4,289.7388644920029,290.05821166655164,HAM
5,282.70816413671844,289.5808297089855,HAM
6,146.17556166077952,146.36123115214002,HAM
7,136.61396861057756,139.60927422288464,HAM
8,143.44280990553943,141.90502204891686,TSU
9,198.14140407823518,190.85452857846624,TSU
10,132.87992137306952,135.85746155160862,HAM
11,125.48291217874728,131.05355391736282,HAM
12,175.74524786515795,173.08958467782276,TSU
13,271.4909746380315,268.21079472835737,TSU
14,292.9096781708558,292.90627320438284,TSU
15,147.99271101383334,154.3355618304893,HAM
16,199.37815545473615,206.04962630947205,HAM
17,171.2911381361303,173.5244077953215,HAM
18,273.1863257575758,271.8812878919171,TSU
19,297.2773097957758,296.41757566564763,TSU
20,312.18683980129174,311.62151178522805,TSU
21,320.837704478647,321.4393420455809,HAM
22,326.2018317844862,326.0697402605898,TSU
23,335.0013496497751,329.46081733668683,TSU
24,340.6075786723122,324.7837330589857,TSU
25,342.51371578395657,321.94409825300085,TSU
