Minisector,MAG,TSU,Fastest
0,238.59465882082426,245.72491696294267,TSU
1,270.4172393321265,276.5162979265203,TSU
2,175.124824667356,166.5581505037794,MAG
3,147.44351978374488,152.96471264573876,TSU
4,254.23261256916996,256.04534754812335,TSU
5,264.6710940203958,254.18326427301588,MAG
6,216.74386169516387,202.8163014624257,MAG
7,192.44318421927466,191.28472481558398,MAG
8,149.02987173475935,149.16965260768345,TSU
9,206.4068294025178,205.0736909551961,MAG
10,265.48919103033955,268.3867260631457,TSU
11,121.13843780695723,121.68326953819015,TSU
12,202.28940129392728,212.1831454648889,TSU
13,264.2523449265151,275.99523775661373,TSU
14,287.01327999999995,305.7028162679948,TSU
15,295.1568412522664,320.3598054968889,TSU
16,249.41884517396826,247.3471592043956,MAG
17,132.3623185621884,123.37827941630167,MAG
18,128.84424519823628,127.81406046427345,MAG
19,118.65664468576395,121.40291535228306,TSU
20,219.47449056827926,223.2138753285642,TSU
21,252.60425884981686,247.886804036183,MAG
22,230.63834090062775,223.25678837522904,MAG
23,195.32378359518157,204.04803219336222,TSU
24,132.9837504780221,134.81871265023273,TSU
