Minisector,LEC,KVY,Fastest
0,275.0548455687716,275.86728559483686,KVY
1,297.34907350187035,294.2444477127281,LEC
2,296.2485000472381,289.70301994624845,LEC
3,190.88870855434644,179.35244975990733,LEC
4,122.52071085973476,128.00854487601248,KVY
5,237.13531961915217,239.43858554718946,KVY
6,286.0929350796524,280.9157941181609,LEC
7,302.99023351414485,284.96968864468863,LEC
8,175.1882894781789,171.87567435556988,LEC
9,139.61132859512065,142.31827741138483,KVY
10,251.22409971453234,251.68025921124072,KVY
11,287.57086833417253,284.84965430138277,LEC
12,297.96842073129045,294.50599995733336,LEC
13,279.6836418765432,281.82399255091576,KVY
14,301.6662482795995,297.9545831111111,LEC
15,306.17567660900477,301.1100714710083,LEC
16,254.13051964936608,249.30447857708074,LEC
17,215.48225551521534,223.52831469445997,KVY
18,279.6443337216887,280.68580942216516,KVY
19,306.6838766376812,302.4680445848695,LEC
20,314.7829969358178,307.1661495784679,LEC
21,217.6635715148399,219.89554845172012,KVY
22,258.227033231746,256.62241327816093,LEC
23,136.62706623546507,136.93956982473796,KVY
24,210.48847401521303,216.13968299254853,KVY
25,257.18749866666667,,LEC
