Minisector,VER,ANT,Fastest
0,282.42368812867727,299.143806699581,ANT
1,150.97015674119984,148.27124537975604,VER
2,237.84364376046574,228.75538204111615,VER
3,285.4952571552778,276.90279498512075,VER
4,312.7900996769766,314.19315264366753,ANT
5,308.60593585981,311.59545664758605,ANT
6,155.26352233206154,152.4855252171709,VER
7,253.40155685921837,258.8197119154023,ANT
8,114.56550924868436,117.62874284482515,ANT
9,177.0062049506899,163.802874381096,VER
10,275.74944835344695,280.11421997983786,ANT
11,301.5703499227429,302.17086294095236,ANT
12,213.60561411290828,216.14879222364598,ANT
13,171.38916929895873,174.19515334191314,ANT
14,281.84112308451347,279.48002520776015,VER
15,314.09320415478675,315.67527420500085,ANT
16,326.6801019616557,327.91144302995167,ANT
17,332.4710177462857,336.7408177975309,ANT
18,335.77268669123174,339.08791664,ANT
19,337.6128344493424,339.98110940813854,ANT
20,198.80794091209387,184.15026289196743,VER
21,182.24773223073396,188.24690704720302,ANT
22,282.6551872490472,283.69806073553116,ANT
23,311.96036176255654,314.66506018444653,ANT
24,322.01663890460156,327.0681539022222,ANT
