Minisector,PER,RUS,Fastest
0,245.45064112598638,245.93359699453092,RUS
1,125.08936476283004,118.18871239948567,PER
2,196.2460212063492,192.99530775862482,PER
3,243.01532807697834,241.93690309198877,PER
4,258.67122783818047,250.9053277862789,PER
5,175.3561388639599,172.18044330763416,PER
6,141.4893732848023,143.98695265614177,RUS
7,187.41828692938273,188.34230662095237,RUS
8,98.55535305630806,103.88260825872167,RUS
9,75.07123701759396,73.85038105711992,PER
10,94.81124625656565,93.23372738557887,PER
11,185.6756509189418,180.67627706970043,PER
12,244.2155157350649,242.64314480527474,PER
13,265.2434815691274,265.58525708698414,RUS
14,270.0948564356343,270.66425428280274,RUS
15,105.97164087024028,112.68518152806814,RUS
16,151.10019801553034,145.3275697437086,PER
17,183.11160722577927,180.26917611388475,PER
18,200.17373136181013,197.78267292683472,PER
19,210.40441226459544,204.54381110857142,PER
20,135.6770896843521,128.40276653319222,PER
21,105.96115844961065,115.04957213349206,RUS
22,100.78566862710903,91.1674560230083,PER
23,200.6548791720635,189.14656721393914,PER
24,248.27209111362694,245.79694054857143,PER
25,261.7454557090909,263.1939047878391,RUS
