Minisector,VET,RIC,Fastest
0,285.40509549559346,280.20362291937414,VET
1,304.2627110696869,305.6278136843908,RIC
2,299.81416741797705,291.2663535256827,VET
3,172.00605653461201,174.2699952492998,RIC
4,116.10401491337133,119.27102782470593,RIC
5,244.38524644721525,236.63771132340156,VET
6,300.19752678047155,287.9244804132433,VET
7,321.07299709572305,298.14020876405897,VET
8,160.1484387245068,161.893422039981,RIC
9,142.33645096086468,139.52859060787964,VET
10,251.9361761337389,253.2019581768208,RIC
11,287.2139697592842,294.28878448197526,RIC
12,296.22773304242423,296.3871279465713,RIC
13,276.59713897490155,272.67038140389394,VET
14,297.8377410593424,299.616625054368,RIC
15,294.54726131362855,302.62381246897684,RIC
16,248.8256373126376,236.69203357738056,VET
17,221.95523115754963,215.89107256312974,VET
18,279.2284940919358,283.54293043692076,RIC
19,301.66002723301193,316.547189014478,RIC
20,308.36853837936206,323.1575875828024,RIC
21,227.8447056087309,214.9033201281317,VET
22,258.76500848963235,252.9748046626124,VET
23,143.49499787992062,132.44833074805118,VET
24,213.32179020968215,214.72736052695504,RIC
25,254.95000106666666,,VET
