Minisector,NOR,PIA,Fastest
0,289.38251743361633,289.47723614907164,PIA
1,308.2280208569632,308.0995516750849,NOR
2,306.89463772748127,312.6571850454257,PIA
3,202.47660522093827,198.30214176344936,NOR
4,234.83296652900688,235.82697629693968,PIA
5,223.29552268701394,224.14417080200718,PIA
6,206.3684201319243,206.57630466031745,PIA
7,231.2007974244898,235.06587472544172,PIA
8,269.8616592206803,271.8581526962545,PIA
9,280.7750992770054,277.61603482335244,NOR
10,175.74740024087237,175.79444391597278,PIA
11,237.23050922683788,240.13568168766963,PIA
12,120.74746247577983,116.8326461292658,NOR
13,226.21182384484848,223.46502300932138,NOR
14,278.9295539796304,277.4794016569922,NOR
15,294.93797063372534,295.6302657700483,PIA
16,218.91509913153592,220.90640997180537,PIA
17,187.01020483238415,188.47468973564804,PIA
18,267.54198741750645,267.20120322812124,NOR
19,295.26645361922897,295.11842474574325,NOR
20,306.75714644248194,307.55974635151557,PIA
21,306.5727381739683,308.2462267611939,PIA
22,273.89059448402116,284.10515237379167,PIA
23,118.46576931787276,115.36074869287948,NOR
24,246.0484551628219,241.55072010237228,NOR
25,,276.0324589385367,PIA
