Minisector,PIA,ANT,Fastest
0,321.8654399085235,323.21295493171715,ANT
1,329.4979024521212,333.0041096289852,ANT
2,331.3304107579221,336.7180686713228,ANT
3,197.12763619804696,194.11248505280076,PIA
4,136.5090565425883,135.49633099026957,PIA
5,270.5414950306878,269.3589985502368,PIA
6,302.2381946893444,303.46457388495236,ANT
7,313.84660493827164,317.2560202503682,ANT
8,276.6975214866389,256.5614430993895,PIA
9,152.09670057973233,152.43927470936197,ANT
10,229.99371494947843,222.66371019563064,PIA
11,233.30510131490738,233.36917557939793,ANT
12,213.62214822907936,214.543810419343,ANT
13,272.302165051529,275.807482169697,ANT
14,305.87395456701887,309.54143338648197,ANT
15,316.9605417066667,319.28970568366015,ANT
16,277.6882989397691,259.8431851120988,PIA
17,223.46749158770442,226.78676997005306,ANT
18,280.53444958758934,283.38352723865637,ANT
19,310.4568482847484,313.59514478607446,ANT
20,321.22678808126983,326.1654458006892,ANT
21,304.71676033830204,300.69034872242423,PIA
22,224.44964731118296,218.03603656386474,PIA
23,271.3212358011255,272.95631244615794,ANT
24,307.1659466024038,306.1649673878095,PIA
25,316.4,,PIA
