Minisector,TSU,ALO,Fastest
0,298.5376438151378,295.1608776186855,TSU
1,211.51208659944376,205.57159297715967,TSU
2,229.62388776644883,231.70621436695538,ALO
3,275.14723690314344,275.6912539758764,ALO
4,234.87677264218607,243.1329892340765,ALO
5,127.77557610813403,126.65536895300485,TSU
6,214.21533125592103,213.39210877434218,TSU
7,261.8105256707438,261.6223917464965,TSU
8,242.16085217454545,250.91181712563147,ALO
9,239.9108595958492,241.990947733258,ALO
10,276.3180505977276,276.4201978074805,ALO
11,294.62151033821647,291.24505075641343,TSU
12,304.14115233444653,299.61241124631186,TSU
13,307.6306818181818,303.0483135153439,TSU
14,308.44686294441556,302.9041351111111,TSU
15,255.64269833163414,254.42279926153847,TSU
16,242.00540993219047,247.83372935542064,ALO
17,280.77768264610734,280.9189931786391,ALO
18,293.86696526135046,291.389005534446,TSU
19,167.19385673809222,169.8178786918326,ALO
20,209.7424252805644,214.58575013200792,ALO
21,179.2493972287416,193.47454875374947,ALO
22,144.5038036833417,143.00049449116236,TSU
23,243.4991611819199,241.75787555787585,TSU
24,283.65697573382806,282.68766678400004,TSU
25,295.0181818181818,293.3071424,TSU
