Minisector,SAI,BEA,Fastest
0,284.2613781412448,291.1336594426272,BEA
1,144.63276896772203,147.34126403190723,BEA
2,223.39817688743054,227.3348239964322,BEA
3,282.37726049102304,280.0604650938525,SAI
4,313.2459211064935,311.4460142334199,SAI
5,296.7213670552611,308.94011914018523,BEA
6,157.16688545531463,150.65965719458728,SAI
7,243.46300002942527,255.48986474880397,BEA
8,111.39301185901671,112.94677704547216,BEA
9,173.7552070181061,168.4498804523838,SAI
10,278.10864236345594,279.23901108702137,BEA
11,299.29063113650795,305.0143693919628,BEA
12,217.49673098343433,221.3920260377037,BEA
13,171.13845825851902,165.23020062139045,SAI
14,280.9609590177655,279.8106312662519,SAI
15,313.0808912592208,312.995845415873,SAI
16,328.156175622774,327.3733721888584,SAI
17,335.4316613276564,333.482674981189,SAI
18,339.7942176653061,337.05164508359786,SAI
19,336.09304469485716,339.52241155555555,BEA
20,185.7514846384963,196.95912338717918,BEA
21,183.35350257997425,172.30582432750836,SAI
22,282.5595170218128,282.1084895593983,SAI
23,312.2612174700345,314.6160976195094,BEA
24,321.57585008549097,324.4192669577143,BEA
25,317.77499985454546,320.0,BEA
