Minisector,BOT,MAG,Fastest
0,288.6481477671957,301.90717949307793,MAG
1,301.4077888566477,319.7908856,MAG
2,306.0294486990909,328.82307184782337,MAG
3,307.624181647619,329.41893596190477,MAG
4,183.87114710147623,165.4460521379686,BOT
5,207.16589321224774,201.6757055723257,BOT
6,242.8500004254476,239.47089532000717,BOT
7,266.90895906967415,263.14590147018185,BOT
8,280.94428319854785,278.766353433263,BOT
9,170.35585174554535,164.43131552099797,BOT
10,230.43127863547818,225.17303662667,BOT
11,146.39471164420016,142.85055870402513,BOT
12,220.35894659808562,217.9147386939635,BOT
13,213.60945893191797,208.15393338023668,BOT
14,207.30330162056418,206.7489084920364,BOT
15,250.90189791120537,248.9242547711956,BOT
16,262.0248898274342,255.30936113586614,BOT
17,284.12260308855224,281.58068305302413,BOT
18,168.3916873173605,157.1387280693808,BOT
19,146.18616166687622,153.34087258317157,MAG
20,146.63510258484263,141.8873854632165,BOT
21,173.2110557158988,173.21671268840933,MAG
22,120.85923568040972,118.42022408688845,BOT
23,215.81642529433805,217.81339138669216,MAG
24,268.38163845445655,269.1444369598629,MAG
