Minisector,SAI,PIA,Fastest
0,292.87462777610125,281.4335195138087,SAI
1,139.80702419961267,142.34879750102286,PIA
2,217.6428959830291,220.54709851799944,PIA
3,281.68722959481687,281.8105910370025,PIA
4,309.6629553037242,312.2541581098044,PIA
5,304.4967985893128,302.3174077050865,SAI
6,154.01356436351958,149.8033751867376,SAI
7,241.4901950639344,229.28666703005672,SAI
8,110.55167682543741,107.14725296388188,SAI
9,165.1285460854329,179.29825572927575,PIA
10,277.40061939420195,279.3464846014265,PIA
11,297.97526623749366,297.60829359220025,SAI
12,221.3067170569412,196.59418555292538,SAI
13,166.39978096873043,183.66249130747497,PIA
14,276.9975672420616,283.55110878594684,PIA
15,310.70718767140556,312.589612981164,PIA
16,323.95118545305485,325.46481023610954,PIA
17,332.16750653391136,333.14558076808635,PIA
18,335.6706124621619,334.10083325055086,SAI
19,332.1239930057143,327.75998021918036,SAI
20,202.6747427501579,173.49305824492862,SAI
21,167.17797226405062,186.4099051247237,PIA
22,276.06255897791493,283.164081138551,PIA
23,310.74393745985384,313.89730116860017,PIA
24,320.4208227396894,318.45809938765353,SAI
