Minisector,SAI,BOT,Fastest
0,291.392916003013,292.05621791322244,BOT
1,299.0873096247042,302.73642365549955,BOT
2,278.5690363120181,284.01602118084605,BOT
3,105.3680632800944,102.03893255643995,SAI
4,221.16313132986124,217.35689239901237,SAI
5,271.419590461244,277.5072794949348,BOT
6,203.14144887194342,212.04589058478382,BOT
7,162.69272714047793,155.4704834441492,SAI
8,210.0443902373757,202.19105492801478,SAI
9,223.85535425008484,214.26402420215874,SAI
10,115.31720043379467,112.0660949303407,SAI
11,227.66903997478406,227.84172305150278,BOT
12,120.3104995037242,116.31394141811255,SAI
13,216.14306076807725,221.0363193545444,BOT
14,275.164118980279,283.43821761976335,BOT
15,215.24980251143595,207.3343922401229,SAI
16,189.14195984728923,183.90263059591837,SAI
17,251.90555586287678,246.96818422285716,SAI
18,203.72559896194429,190.24305768802563,SAI
19,170.21049595353875,174.10401282425704,BOT
20,261.49005563233237,260.5611274835466,SAI
21,285.91242507106494,289.8506428823189,BOT
22,170.27872908197511,164.5896233854678,SAI
23,207.08523318659698,208.96318036565017,BOT
24,269.9920711580806,275.4107135068783,BOT
25,,293.19791733333335,BOT
