Minisector,ALO,RIC,Fastest
0,267.4400053472194,277.2655184965079,RIC
1,112.12865105437528,112.91336336225862,RIC
2,151.78612290666666,157.58784763265308,RIC
3,208.10921234047865,219.03172109047173,RIC
4,155.734159423204,154.98421997848615,ALO
5,239.25245679307017,238.16453519219604,ALO
6,216.8950846565244,220.70692474545203,RIC
7,128.20124112609523,125.59942984380707,ALO
8,230.119109403226,227.76507488054972,ALO
9,274.330456759299,273.7024429868741,ALO
10,273.1736332444445,272.3446493298413,ALO
11,149.1363320309936,143.28564685763106,ALO
12,221.02899051959596,219.16205369987395,ALO
13,271.15666037502643,269.95688071389935,ALO
14,262.1236992945326,266.90744221037033,RIC
15,101.46560078550054,96.61294844434904,ALO
16,214.07178442519472,221.4230136960281,RIC
17,270.40190500961165,267.7507525551649,ALO
18,290.2565680615681,289.5788873648204,ALO
19,301.3164681656232,299.0985783735574,ALO
20,306.385856029025,303.6418966388889,ALO
21,279.5580357142857,285.5925848285698,RIC
22,152.03864484466746,141.01243693976107,ALO
23,233.62029999240525,218.76348264321302,ALO
24,274.7913972548987,268.78936125866664,ALO
25,283.80637830613165,284.99545483636365,RIC
