Minisector,LEC,SAI,Fastest
0,303.5980260484738,302.3381252444444,LEC
1,214.8144199876923,206.72065832471893,LEC
2,137.53206698311251,139.08684264450216,SAI
3,211.8877557638095,213.59140309952414,SAI
4,157.34306207170306,156.8784060807867,LEC
5,175.66355293107344,178.45846482577159,SAI
6,251.56616661327325,251.17416746666666,LEC
7,279.4616671466666,276.9433895529412,LEC
8,285.5769841777778,286.2739999969524,SAI
9,259.6909656623633,259.7380732207408,SAI
10,243.68277854814812,245.75636450933334,SAI
11,241.52937933524512,244.47530675134456,SAI
12,206.7679861111111,207.13011122105462,SAI
13,136.7280072525249,133.14410239563142,LEC
14,140.26968725467785,136.26722524348403,LEC
15,179.42039827365227,178.80646571623933,LEC
16,252.98717671111112,249.3047459261457,LEC
17,240.71165151227797,243.296030242109,SAI
18,112.73415036432056,111.75397470169065,LEC
19,196.6594401558181,194.62916861481483,LEC
20,196.24288234901098,191.24379937154131,LEC
21,231.87728788340155,232.63647243831934,SAI
22,263.8221580347475,262.3693547611544,LEC
23,282.93211924847185,283.68962201745114,SAI
24,297.35070958379583,296.47927369238096,LEC
25,,302.0954548363636,SAI
