Minisector,VET,PER,Fastest
0,291.9063623373494,293.1804784509987,PER
1,161.03539966996362,159.39277975001878,VET
2,155.83020937614035,151.79101892176723,VET
3,228.09761843809522,226.0874715051688,VET
4,285.5611278575569,285.28398323116886,VET
5,288.4390257447741,284.12968573333336,VET
6,148.68650046071164,143.77326712550266,VET
7,146.85333638803988,143.91307599367664,VET
8,147.04718757056278,141.7224247139275,VET
9,190.01351073949175,190.87395474079014,PER
10,132.47693982352976,131.68496920434904,VET
11,124.27699099203691,121.04382508482594,VET
12,167.90722513049204,171.08487975701416,PER
13,269.44602169766233,268.4821187111111,VET
14,290.1608817388821,287.62559546320347,VET
15,151.66673243851469,151.30450587241515,VET
16,211.3942203526882,211.18317109888,VET
17,177.1385509317614,174.38169377194336,VET
18,272.9086799111111,273.79346957467516,PER
19,294.73389990022673,296.8890875138322,PER
20,308.11467238095236,310.2406315452167,PER
21,315.62220707689846,317.27666672,PER
22,318.7167919799499,320.4613095619047,PER
23,319.91208330666666,323.28812501333334,PER
24,319.1317432932101,319.75827051629074,PER
25,317.6916672,,VET
