Minisector,BOT,RIC,Fastest
0,260.46958825253944,266.676782883536,RIC
1,127.97376075698023,137.0726947606997,RIC
2,199.7058418713599,201.03509818324017,RIC
3,249.5677565681332,250.47757994829018,RIC
4,261.11200323331275,261.8020822857143,RIC
5,173.8250127719009,175.8259756744353,RIC
6,148.58009484201762,145.0696579655973,BOT
7,187.84972934813374,183.60874225822982,BOT
8,102.3018259137728,103.96147575963906,RIC
9,73.43682820148234,73.50255852075865,RIC
10,95.18489328724894,93.88185241397503,BOT
11,186.22823158731606,178.15481652012247,BOT
12,248.1137978048852,247.89123544931863,BOT
13,273.19842151036636,272.5849418473571,BOT
14,286.2705907685698,285.903409729334,BOT
15,118.1388824123364,123.12383424103162,RIC
16,144.35502842014236,133.94791929903784,BOT
17,187.14288683657304,189.11393736136682,RIC
18,200.6414766416405,200.07299085824806,BOT
19,212.40826729354444,219.44877091466148,RIC
20,138.62345877016028,138.22755213612493,BOT
21,114.27818175361158,117.03811208580943,RIC
22,94.0186509874342,89.36372950500262,BOT
23,196.1465654717165,191.5347480080302,BOT
24,254.2392102869235,251.97740355666903,BOT
25,,267.07531119020814,RIC
