Minisector,ALB,LEC,Fastest
0,306.8020739514375,299.6785267502607,ALB
1,186.55677398369554,192.08258327833116,LEC
2,227.1411014810778,214.8793937566701,ALB
3,277.819088274882,272.42041369811,ALB
4,222.66232500717544,245.55180498020704,LEC
5,121.97283342149167,123.73126456359701,LEC
6,201.8983610690866,198.5318028310432,ALB
7,246.10881875132088,245.290185079436,ALB
8,218.17749403847745,231.3821899337892,LEC
9,225.05693505515876,226.07484702509407,LEC
10,273.0639277925433,274.70595555937643,LEC
11,291.83395343158264,293.57779263147,LEC
12,307.90679753390276,299.13559744410117,ALB
13,322.8335815278638,302.0154440063796,ALB
14,327.5234353446626,303.73689756305913,ALB
15,233.01886451566682,244.98766627769592,LEC
16,224.46418146100015,218.69226674002547,ALB
17,282.30070926392756,266.4804616073685,ALB
18,300.0666021077444,289.56961998912203,ALB
19,141.66239256554505,136.97237350591521,ALB
20,192.9212365200085,188.11654284708365,ALB
21,148.0312816235612,163.36927392226286,LEC
22,132.1825662057824,129.25052122005283,ALB
23,242.60498045240857,239.24684413080183,ALB
24,297.2409812733359,292.84182510814446,ALB
25,314.14285714285717,310.62142857142857,ALB
