Minisector,SAI,OCO,Fastest
0,292.4854681406555,290.74730835333503,SAI
1,156.07865934371915,163.98589312178245,OCO
2,179.25462526715899,170.62114317820004,SAI
3,257.1591242584049,251.9112132040917,SAI
4,287.0842277052632,283.0496469181103,SAI
5,252.29723166548152,242.49994675666144,SAI
6,226.7543797019798,225.38632452586972,SAI
7,149.9991048859801,150.7403622680974,OCO
8,220.18668058656277,222.50483408023086,OCO
9,279.46787688178756,280.5285767975588,OCO
10,297.7864659841604,301.1875540297143,OCO
11,307.3096404301365,311.7413716488889,OCO
12,312.4179839759398,316.36425559673165,OCO
13,313.09561460932326,313.44321183492065,OCO
14,127.40850321933986,132.44215002194753,OCO
15,118.06449772357384,118.93733069486603,OCO
16,103.74511418235988,95.35711200507264,SAI
17,233.3310006137566,224.45075714670043,SAI
18,287.79497230829105,283.56831587845807,SAI
19,307.34609014320864,308.38137103220384,OCO
20,318.03751912891323,319.133236535818,OCO
21,322.20540366666665,322.70534500426487,OCO
22,122.05766529574795,122.42678879489902,OCO
23,202.30835322567742,186.73211801402687,SAI
24,270.436630849895,268.9934934166391,SAI
25,,286.02569520000003,OCO
