Minisector,NOR,HAD,Fastest
0,290.8162354261396,297.79263271771094,HAD
1,158.25735923074157,162.10273342073165,HAD
2,156.3496581033611,160.0436232342184,HAD
3,232.29209705909102,229.64242709704217,NOR
4,295.7378641711057,287.61561995830226,NOR
5,289.60758438287644,293.964304895376,HAD
6,145.70786282430322,147.53949133834115,HAD
7,138.7511770893852,134.17195707477188,NOR
8,135.41771171009984,135.98445751070804,HAD
9,195.59330166332938,191.73670856752636,NOR
10,130.60980194497114,133.9309316159758,HAD
11,128.7432834589961,128.06133104006156,NOR
12,174.83100526814735,164.99745450853632,NOR
13,270.9166522960854,266.38024611397435,NOR
14,293.7974534961947,292.9656098797136,NOR
15,147.33992145170916,147.92455795908342,HAD
16,199.06659897654615,205.9523593822329,HAD
17,175.36722383919513,177.52022976123135,HAD
18,272.46383502091226,272.10027049494033,NOR
19,298.80693603459156,295.7681768876251,NOR
20,312.24855536447205,310.3207842244259,NOR
21,320.07551827112627,318.6232515214266,NOR
22,327.8177567690488,322.7375927780684,NOR
23,338.42509717422223,325.62422461353384,NOR
24,341.1002842734497,321.4071458112342,NOR
25,340.884735378888,,NOR
