Minisector,VER,PIA,Fastest
0,276.46371463609665,276.69786805333337,PIA
1,298.47355432397444,297.9681693881097,VER
2,297.1045489473986,298.8135861312253,PIA
3,175.53477937820105,176.234250140062,PIA
4,117.35769088847101,118.83709850756348,PIA
5,235.06802822443083,238.63385195539394,PIA
6,288.9842257064248,282.27897606278685,VER
7,310.5168918547841,298.6317080888889,VER
8,180.82005421172468,185.49215112013647,PIA
9,140.6826451927269,143.48052412710612,PIA
10,249.2434409801382,252.4631816387879,PIA
11,289.7257287784127,290.5864044909559,PIA
12,302.4136700554808,305.72095623643236,PIA
13,289.6177962233766,290.95520529472145,PIA
14,300.88965571864736,298.5276347801117,VER
15,299.4053771869343,302.1617928161524,PIA
16,257.6229457298551,270.4028590308725,PIA
17,231.969908485615,237.6410302526984,PIA
18,286.0973720990804,279.24898795948076,VER
19,315.47546108997165,300.18701515969633,VER
20,326.6820210909091,308.0905886579964,VER
21,246.71293322981938,254.55919309206348,PIA
22,261.45783875908904,267.02150306267094,PIA
23,146.6531545328107,137.90350621065255,VER
24,207.85132909408696,213.49616865581157,PIA
25,255.35714285714286,258.52124928,PIA
