Minisector,VET,LEC,Fastest
0,288.9560128389312,295.2349758139858,LEC
1,195.31111041645403,202.10764085795222,LEC
2,226.29759110575327,228.77390767266456,LEC
3,270.5656829678134,276.1194706966263,LEC
4,239.26593070292478,243.07551361328677,LEC
5,128.04067947484833,125.91072440038141,VET
6,212.72134436153647,208.40101092241028,VET
7,257.1820789377453,258.396921409573,LEC
8,200.8530144789835,210.04879670380913,LEC
9,205.5072982927861,209.550523409122,LEC
10,262.09777634888826,267.98456512448007,LEC
11,208.28335376976048,211.22789360113123,LEC
12,177.57257180786962,176.25726337110865,VET
13,258.01124815920684,262.45254098753054,LEC
14,280.3606951673824,281.4165457955268,LEC
15,256.41401444848486,254.9897580163798,VET
16,236.81150490728706,238.7824829111365,LEC
17,272.0672619459619,271.25793323712765,VET
18,285.47918932048896,284.4682863940813,VET
19,176.7846103567655,180.32284073287843,LEC
20,207.9322329052956,212.4124651693499,LEC
21,170.01089923896782,181.88894515807178,LEC
22,140.8678400438401,138.91074225765124,VET
23,238.16765482533688,238.1119344187559,VET
24,276.67542165669676,281.9456977898611,LEC
25,,290.81666666666666,LEC
