Minisector,NOR,RIC,Fastest
0,281.1853184946366,277.2655184965079,NOR
1,122.25863097443283,112.91336336225862,NOR
2,172.84444579232422,157.58784763265308,NOR
3,206.76204734144926,219.03172109047173,RIC
4,162.542821637506,154.98421997848615,NOR
5,239.32266110040814,239.076768188486,NOR
6,200.32575557705295,210.8694931362963,RIC
7,138.8985575179832,129.51054131047374,NOR
8,238.1022966874435,231.59666133955494,NOR
9,276.1635040857143,274.2970512507228,NOR
10,277.5698978322843,271.500959285164,NOR
11,151.9477590280418,144.3542635613392,NOR
12,220.64523484196928,223.09435054351027,RIC
13,271.1682503317669,271.7649020015999,RIC
14,257.5627604667669,261.1852199881481,RIC
15,99.75430435037987,97.88718941786206,NOR
16,221.50573271615752,231.46388693008154,RIC
17,269.44711547936697,269.3790857818316,NOR
18,289.59817931114844,290.445554031487,RIC
19,297.78987474460627,299.59310179724866,RIC
20,303.06127447843136,303.87645330158733,RIC
21,279.4106404901587,270.92665097142725,NOR
22,156.8831898329149,138.48253823090545,NOR
23,233.16974604985506,225.63117740477145,NOR
24,275.3570774190714,271.084375507496,NOR
25,,285.4000011636364,RIC
