Minisector,LEC,RUS,Fastest
0,256.4038407922548,257.1362515843518,RUS
1,129.92336391669207,125.64276338007923,LEC
2,259.1475721760661,258.78707854008906,LEC
3,301.6924892672736,304.5576116391096,RUS
4,302.7506746311111,308.0780403492675,RUS
5,309.29423416681135,317.16328570148573,RUS
6,313.65307274317576,324.42058970812894,RUS
7,310.957696243855,326.03683486188265,RUS
8,193.74711124511578,189.2880746099453,LEC
9,187.5359616535285,190.82044574648666,RUS
10,185.7631963932091,183.7097684632344,LEC
11,169.94275521624763,169.6439719279949,LEC
12,248.78469898336047,250.88983319372002,RUS
13,272.3471591947455,260.93891609790467,LEC
14,275.3500097043224,271.4025777561097,LEC
15,272.30113391873846,267.5546047112858,LEC
16,178.17768892348306,176.30005201580033,LEC
17,187.64889362178317,181.87641703911112,LEC
18,234.48299659346947,225.41690519503697,LEC
19,285.3249040409504,279.72135139121417,LEC
20,308.7435254289657,305.41640773079365,LEC
21,315.98691191527615,314.4179887144577,LEC
22,313.2270112253893,313.88579135168834,RUS
23,252.33317143799772,244.62015479509805,LEC
24,110.47344639417624,111.79297569690414,RUS
