Minisector,BOT,VER,Fastest
0,275.71625026545854,276.411362108993,VER
1,288.6974303825123,292.0867869777492,VER
2,288.5151620029283,289.07419158919026,VER
3,183.58537151826408,179.02301912935442,BOT
4,138.81535320837335,134.4476234323784,BOT
5,244.5397075942721,243.46106943649596,BOT
6,282.606285624788,283.93614871147633,VER
7,293.57367156567926,288.560725859125,BOT
8,191.6559800079815,176.78448245912585,BOT
9,154.90396246326546,146.68220427366592,BOT
10,254.84580071460948,255.11088623455444,VER
11,284.25519376008657,286.1696521713598,VER
12,294.0973015890966,296.04314179859824,VER
13,289.0307594020967,282.887447565974,BOT
14,299.3324386736091,298.1290599952278,BOT
15,297.4203868473116,294.9832506907982,BOT
16,264.29447770077894,256.1231590871111,BOT
17,241.83076652335546,240.67932612170512,BOT
18,282.63835490742605,285.5513623265806,VER
19,299.964963082036,305.1211111111111,VER
20,306.87043722151776,306.28666663860906,BOT
21,253.25237165039286,225.6102092267148,BOT
22,267.3553685497707,260.0936477540058,BOT
23,140.50167038791304,138.8166843856444,BOT
24,225.51099242138702,224.71001448510123,BOT
