Minisector,BOT,VER,Fastest
0,294.47120314687675,311.1380532368843,VER
1,206.40971223533862,189.0908344661287,BOT
2,233.28909115347557,230.08973174910642,BOT
3,275.60173483689704,284.13381493452766,VER
4,234.45084369038136,233.87765516634457,BOT
5,126.99681048262404,125.35531531508714,BOT
6,217.0109480105721,212.81180738598158,BOT
7,264.71896644401414,259.7853337656143,BOT
8,216.44706283366594,202.70983346649243,BOT
9,208.96900222168662,215.466918202724,VER
10,266.14218494960716,270.22300274437237,VER
11,210.48639129273138,208.75845003299693,BOT
12,180.20842886928725,184.2972494799328,VER
13,263.8660922284017,264.13858593851256,VER
14,284.2664471578948,287.80816379192925,VER
15,266.6450798252176,256.1561058694443,BOT
16,245.38603992032998,245.11647516411858,BOT
17,276.1851707407142,285.9891257016965,VER
18,289.4828792523506,309.02115743772544,VER
19,182.14878033928554,175.41736708218716,BOT
20,217.85524958708558,210.9827736725044,BOT
21,169.89470264166687,168.23739258050705,BOT
22,147.36639134924354,145.89620564383026,BOT
23,243.55691807681993,244.11944159657895,VER
24,281.9280040720355,293.7268346600394,VER
25,290.83084508046807,,BOT
