Minisector,GAS,GIO,Fastest
0,284.0581403022999,278.38266780630437,GAS
1,230.61822268157349,219.1786042353974,GAS
2,112.85404387382829,115.3496684602634,GIO
3,199.05577893238322,197.83593800000003,GAS
4,171.27196793764747,172.62597394593556,GIO
5,218.99910652698415,225.19528804621967,GIO
6,284.36282688,280.1836154065163,GAS
7,309.2213538666667,297.69289022645506,GAS
8,174.29120028629148,171.1064506101508,GAS
9,122.54665800103211,127.35665556340226,GIO
10,136.12687228460354,134.8363645094844,GAS
11,197.06243609091908,196.41449988693205,GAS
12,203.40372570299823,217.04297542890512,GIO
13,130.09965526420953,133.4340926389773,GIO
14,140.52400650383353,149.0262920940953,GIO
15,135.62884142748348,129.18808598052152,GAS
16,263.04217314890593,257.1620830933333,GAS
17,138.00455695015143,139.0760365010989,GIO
18,203.71084060811503,203.7507782060137,GIO
19,128.91377199383314,132.41081633457577,GIO
20,141.83385976989865,148.22297126262308,GIO
21,126.18253384541146,122.60411992489108,GAS
22,155.9278065414966,148.7145563982684,GAS
23,216.66840244444447,215.37368295245258,GAS
24,235.71711601407662,234.89237020259742,GAS
25,265.05357257142856,264.4416682666667,GAS
