Minisector,VER,NOR,Fastest
0,299.38985811855906,331.88386811108234,NOR
1,232.77819925210332,230.72164564636998,VER
2,145.85752875365364,137.14870149881352,VER
3,226.2993035199823,225.14940669219067,VER
4,265.68559146564326,267.30673437334,NOR
5,288.57849752688765,292.9789838546845,NOR
6,301.5858634694735,303.86624121441713,NOR
7,278.16715946666665,267.3965826091903,VER
8,181.9361517602096,170.57173424887793,VER
9,246.39267639258853,246.13710741016257,VER
10,276.93487023058356,274.5975161168952,VER
11,271.0436795620214,254.5310268007304,VER
12,218.0600040879023,211.24944962687252,VER
13,135.78010992535638,129.25006638325848,VER
14,134.33396906077922,126.50621692482962,VER
15,166.91426992304028,158.1585185847508,VER
16,130.69690645369062,134.03155920583617,NOR
17,235.17026572923973,239.81033252364858,NOR
18,190.6671044448127,169.40626526136046,VER
19,172.5939828354786,176.91190463448305,NOR
20,251.73602494187284,253.39520784980516,NOR
21,280.68998715226274,279.7593228645687,VER
22,293.7989578666667,298.24662742415285,NOR
23,302.25019820130694,308.75306218593914,NOR
24,304.76999992888886,313.93333333333334,NOR
25,306.0,,VER
