Minisector,RIC,OCO,Fastest
0,232.39772462222223,230.10547792038759,RIC
1,280.53756712281574,288.00334437732425,OCO
2,293.1590284204378,304.55912685714287,OCO
3,295.5625000727273,310.8763813085826,OCO
4,266.30168052529626,275.1916695111111,OCO
5,177.73082959327732,168.95587219905553,RIC
6,258.2998838034116,264.0620893218775,OCO
7,275.1056612753623,284.1866071203463,OCO
8,225.79412362979204,206.1999592415361,RIC
9,217.59118430755558,222.2059939755102,OCO
10,193.17470186961563,178.77513312651072,RIC
11,224.57190465693122,226.02420504126985,OCO
12,209.53174125958796,198.238656632973,RIC
13,216.84412995993432,209.08106588015173,RIC
14,225.1635975946778,222.3889871564626,RIC
15,187.27027021061656,175.93051535472134,RIC
16,247.82311877648698,250.3278154717973,OCO
17,287.53031763301584,297.19243431025825,OCO
18,303.3032196848485,314.9842520621554,OCO
19,291.5667739082251,301.2899917836565,OCO
20,131.74666415965308,125.95087335702742,RIC
21,165.50575448958048,156.7555578041584,RIC
22,156.61397353962928,152.00239946547399,RIC
23,207.98597629247314,199.88652598754803,RIC
24,148.2228210252227,141.99976040098755,RIC
