Minisector,LEC,PER,Fastest
0,309.49783859248123,292.56923320133313,LEC
1,186.42458158311982,211.95024202959814,PER
2,225.51593465569954,225.80384279536142,PER
3,282.4652513201436,274.1497069234533,LEC
4,233.1491409192487,249.01467658450167,PER
5,129.16583017956032,131.8525690174659,PER
6,215.6983835900571,209.69465717808072,LEC
7,261.6006178502833,254.76306571883873,LEC
8,242.74040177177503,249.04306209437954,PER
9,233.4922994589364,229.77191762895237,LEC
10,279.3007493787121,274.475705997933,LEC
11,299.54034347750445,293.80133132641265,LEC
12,309.50907791040976,303.45840806730155,LEC
13,315.02505451896747,308.00416670476193,LEC
14,318.22076125483403,311.0756579649123,LEC
15,267.36924874089186,272.9718501630782,PER
16,242.3589357482958,237.8743304929265,LEC
17,287.6776490448806,277.23318421679994,LEC
18,309.0666594488889,296.82013562124473,LEC
19,160.8164619024827,159.5341228032708,LEC
20,212.34005784305006,208.08877080303031,LEC
21,204.599891987269,197.189514224838,LEC
22,138.85433032858862,134.0368724561492,LEC
23,237.54753590884764,233.2673670560277,LEC
24,279.91873456207793,278.217541334026,LEC
25,290.7083338666667,292.45972266666666,PER
