Minisector,LEC,RUS,Fastest
0,282.37971085687803,278.02680203290043,LEC
1,299.570410730284,295.19748503279527,LEC
2,293.9512031924544,289.3108656278021,LEC
3,169.61960263667453,174.3019174037694,RUS
4,216.97183358653174,206.4442903156727,LEC
5,196.67488637288739,188.98697073114337,LEC
6,175.10978268145524,168.8527140992386,LEC
7,199.89491850525727,195.52300764767458,LEC
8,252.26980868002383,246.59507312306985,LEC
9,264.84622327238094,258.72080673165465,LEC
10,163.1674900898324,169.24111936296566,RUS
11,232.2946842740497,227.34550181802084,LEC
12,111.34401498118586,108.64519654915816,LEC
13,223.74716717489252,210.3357513527674,LEC
14,276.55446844557724,271.6635676376385,LEC
15,293.4332961,287.59393773306215,LEC
16,204.70572119264182,210.3470544921147,RUS
17,184.11337522739078,178.65589275402758,LEC
18,260.6507581554669,263.3566162733993,RUS
19,292.0693109044346,288.7637386856189,LEC
20,303.7369124537987,300.46211650074076,LEC
21,304.92100273724867,296.9693203953243,LEC
22,273.55926440478805,255.69612054896723,LEC
23,113.48025848064648,115.792241977271,RUS
24,232.41539070476188,233.15403437339518,RUS
