Minisector,SAI,ALO,Fastest
0,248.20513572392156,251.86989586666667,ALO
1,122.87504881596284,129.4467038267579,ALO
2,205.78836035324673,193.91531377680747,SAI
3,246.79142436569416,241.86728507844157,SAI
4,257.75948557206345,250.26217813333335,SAI
5,178.8211110271937,174.3078043007781,SAI
6,143.30059982447972,146.10403215472527,ALO
7,180.56075520241814,184.53891323996567,ALO
8,99.96410281623946,99.06596476513708,SAI
9,73.70771669431117,75.6299468905977,ALO
10,93.74848820142056,93.2549828480865,SAI
11,188.36438835428572,180.64630009197467,SAI
12,244.51975857884335,240.21648462666667,SAI
13,267.2746530466936,262.3539408511027,SAI
14,273.5605745964945,268.45751388571426,SAI
15,104.59177569283625,108.66925429435207,ALO
16,143.91039394438096,154.0316884517093,ALO
17,170.07947654451576,187.8115564647376,ALO
18,196.10075270775025,198.4336154594564,ALO
19,206.6817204688889,213.8652338411132,ALO
20,133.74839598142526,137.90623721840444,ALO
21,101.49531482877266,113.1273185058073,ALO
22,100.63146046945847,95.9399810033113,SAI
23,201.0896152735635,194.01834514642377,SAI
24,251.70163443543936,241.90532508790932,SAI
25,263.74999893333336,259.74722346666664,SAI
