Minisector,SAI,RAI,Fastest
0,303.122000384,304.43370949849134,RAI
1,158.07269432916732,156.68596143887063,SAI
2,154.51417367795378,148.01732463249965,SAI
3,221.74091827411482,225.27100954854595,RAI
4,287.9013117085188,295.2748015873016,RAI
5,299.9351191055901,297.4453084134911,SAI
6,146.62871132698945,142.07753277908498,SAI
7,140.27032825546206,136.9301430064762,SAI
8,149.12524908325042,144.29834532961974,SAI
9,178.95152257637187,182.60260386666667,RAI
10,130.3014118781394,126.80093780162814,SAI
11,125.90959838176016,125.39325790479649,SAI
12,164.77335490858073,162.29841715224833,SAI
13,267.6417140978878,268.59970836548723,RAI
14,294.7708333333333,295.0472075172517,RAI
15,151.4728020108458,151.6542322602436,RAI
16,208.28254069278628,208.5389657987136,RAI
17,167.2414224579369,164.19684353684113,SAI
18,271.03466645333333,271.0905025948327,RAI
19,295.1106399809524,297.02820504615386,RAI
20,309.220868501805,310.79724299503147,RAI
21,315.7971014492754,320.23423265039946,RAI
22,318.3112621399067,326.0265151515151,RAI
23,323.4716720900433,336.57818242043305,RAI
24,324.24775837337603,340.7932539428571,RAI
25,324.5416661333333,,SAI
