Minisector,PER,HAM,Fastest
0,245.45064112598638,249.13204475238095,HAM
1,125.08936476283004,127.2001710767478,HAM
2,196.2460212063492,197.79028289458412,HAM
3,243.01532807697834,244.31383734592248,HAM
4,258.67122783818047,259.18652197384125,HAM
5,175.3561388639599,169.199825613635,PER
6,141.4893732848023,140.0167429212746,PER
7,187.41828692938273,180.11630816609335,PER
8,98.55535305630806,102.06272346688343,HAM
9,75.07123701759396,70.44745569119522,PER
10,94.81124625656565,94.89050087012042,HAM
11,185.6756509189418,185.44915325510598,PER
12,244.2155157350649,244.1329640391111,PER
13,265.2434815691274,266.78448181229754,HAM
14,270.0948564356343,270.5979924571429,HAM
15,105.97164087024028,104.3963915855355,PER
16,151.10019801553034,150.2438051424514,PER
17,183.11160722577927,173.39366762943723,PER
18,200.17373136181013,194.2933356254933,PER
19,210.40441226459544,196.28688958965253,PER
20,135.6770896843521,130.98513848665675,PER
21,105.96115844961065,102.61321490498572,PER
22,100.78566862710903,98.80099365727396,PER
23,200.6548791720635,195.39295605442697,PER
24,248.27209111362694,248.08048784886017,PER
25,261.7454557090909,263.39000064,HAM
