Minisector,NOR,TSU,Fastest
0,258.3053530646326,254.01202240815462,NOR
1,136.0474296639624,134.89304473936508,NOR
2,204.09455678476192,201.41626872898922,NOR
3,248.4854376495006,245.68591289227513,NOR
4,256.477498688,256.37511427918366,NOR
5,171.59914057439465,179.54631660003798,TSU
6,144.40017157686643,149.6344956289293,TSU
7,183.86546994370735,193.22740739047617,TSU
8,95.19740731678623,105.81564459024271,TSU
9,72.47335796645365,73.78870596771736,TSU
10,95.39128007575927,98.86841915044862,TSU
11,188.38303382505495,183.91993743299662,NOR
12,245.57054814050358,243.11503354742203,NOR
13,269.24985028808203,265.0162183384615,NOR
14,277.1267835885714,275.9330737159729,NOR
15,104.53655867141953,105.94350635652161,TSU
16,151.87336089242524,156.90615882235946,TSU
17,185.02419786078718,180.54205741155556,NOR
18,202.36188428507458,200.72226162554006,NOR
19,219.11870306962962,202.656150412549,NOR
20,142.6999341374506,142.27744625646497,NOR
21,118.50495122770171,102.80431357488537,NOR
22,98.08092277298603,103.87367358050973,TSU
23,200.25391722218487,202.9695270063158,TSU
24,254.69481741679814,249.43192556960318,NOR
