Minisector,RAI,GAS,Fastest
0,310.4549879630871,293.01091297076607,RAI
1,329.70736184597007,303.0576755087719,RAI
2,304.6218877633773,287.93030038120156,RAI
3,110.55295672080038,115.64444433260365,GAS
4,224.48810461851264,230.0010815685223,GAS
5,273.00391349052455,265.106759865202,RAI
6,216.1756958066674,196.97072406083262,RAI
7,163.6100561852403,170.6470163665637,GAS
8,193.99650234573812,191.58717811101147,RAI
9,210.53451007756325,206.25185492244788,RAI
10,113.91409730698015,116.87907156131661,GAS
11,226.92476492993742,231.57769250438392,GAS
12,116.58251016413102,114.9555060444573,RAI
13,227.48861978059352,227.39469097533362,RAI
14,283.42205704781276,272.64634617057476,RAI
15,206.49741998755533,213.77697111746375,GAS
16,194.40885241007234,199.3926631208229,GAS
17,254.22539010632755,247.94956497497614,RAI
18,197.72968954275524,195.49786950504358,RAI
19,180.22745559396174,188.72694291542552,GAS
20,269.8991654102331,268.77492728884624,RAI
21,295.05931664085244,296.290871192527,GAS
22,157.27313911051397,160.45790379499192,GAS
23,209.09529847519235,217.4752719190102,GAS
24,280.0397088137362,274.37792285158014,RAI
