Minisector,SAI,LEC,Fastest
0,291.94788433886623,305.3894031489645,LEC
1,301.2525104695652,321.3503434901099,LEC
2,293.4091954506465,295.0924613165121,LEC
3,111.04308721419794,110.79251139037027,SAI
4,226.39094037394264,226.68660753667825,LEC
5,272.05179369179757,273.0789913483881,LEC
6,213.18546714939004,181.43618435888197,SAI
7,171.1625260474501,172.82548405539026,LEC
8,209.95543906285928,212.5007084171722,LEC
9,222.26242202103975,220.94080750949956,SAI
10,112.98927761979078,115.65828590158065,LEC
11,231.7263834820533,232.1711330276746,LEC
12,116.94371135329946,119.71667540115425,LEC
13,225.55634596943312,227.28467573968254,LEC
14,275.6808334533333,275.92728867776543,LEC
15,233.0369187263944,230.30823289904762,SAI
16,197.31499628193848,195.6064441643925,SAI
17,246.96766041559363,252.46289806517288,LEC
18,208.72884660552114,186.66213880157719,SAI
19,185.54117641639763,187.6840835535972,LEC
20,264.3299404761905,264.264221426087,SAI
21,289.74507854057845,289.8570575784917,LEC
22,177.9158882704597,176.34996888606972,SAI
23,211.20016561558324,212.96965854052758,LEC
24,273.2211687511688,271.31714036970527,SAI
25,,284.3124992,LEC
