Minisector,LEC,BOR,Fastest
0,260.5184936886131,257.11207042527775,LEC
1,131.83842425218248,133.32897740792743,BOR
2,269.85940317633475,268.65969325373675,LEC
3,311.1957720639821,307.0174549029893,LEC
4,309.7745289999724,307.3485847246561,LEC
5,318.3899538687227,314.9478787927273,LEC
6,323.5836096764022,320.1392380688254,LEC
7,322.5672,317.4502854834162,LEC
8,198.64149888673626,209.60858074079457,BOR
9,206.94724383679196,200.32779438567295,LEC
10,179.3314000651882,181.71015976777255,BOR
11,174.49433731797768,169.9353198884313,LEC
12,261.07611339904344,249.76573370544182,LEC
13,284.1010132329908,275.02561078871196,LEC
14,287.45046379244667,279.05199209723355,LEC
15,279.0920545385104,274.3148548236735,LEC
16,170.8146371424305,175.54010683684692,BOR
17,197.72730174611462,201.8428590192385,BOR
18,250.97648102103705,247.62481256416007,LEC
19,294.1112488875844,291.6088663930435,LEC
20,312.0108025169463,309.51874897809813,LEC
21,317.779029265348,315.2773243574603,LEC
22,316.2634573578422,313.39540173841266,LEC
23,272.12723849142856,274.7396956506455,BOR
24,118.79779895050802,115.82246220966125,LEC
25,232.34999679999999,228.60000000000002,LEC
