Minisector,VET,SAI,Fastest
0,275.1530145527869,272.17129408163174,VET
1,293.12090204105556,289.1543593155561,VET
2,301.05315035967084,294.2313117387014,VET
3,134.95808639117212,123.92284391503665,VET
4,199.45684570583168,198.84271774022076,VET
5,263.3167495444524,253.32338493995968,VET
6,140.3650821326258,136.7199546742779,VET
7,210.79891108123613,211.64614121669507,SAI
8,265.02055320820705,261.14975204230456,VET
9,286.9517879408678,281.30687203892774,VET
10,249.10340754861824,227.4223971052598,VET
11,183.77923701066362,174.84493464655858,VET
12,194.03290036946822,201.702142476123,SAI
13,146.7778198904444,141.98420249884737,VET
14,175.16377011404708,176.2566949092582,SAI
15,164.36238193228792,159.40621548139703,VET
16,218.89964019820982,224.62617427675767,SAI
17,237.97149450450289,232.1937984760353,VET
18,242.16769643510318,245.5564514996783,SAI
19,251.52994562238297,228.42983564515006,VET
20,145.27391203439547,149.0233511951907,SAI
21,137.9783427604512,127.14526446871602,VET
22,170.95686900045732,175.4114170370344,SAI
23,151.99707970161126,152.03987857284665,SAI
24,235.5700788462725,236.92639658730627,SAI
