Minisector,PER,HAM,Fastest
0,302.64079548657077,290.00550061783485,PER
1,155.039626305775,152.37437759465774,PER
2,147.25844215361064,150.8788600601548,HAM
3,225.4460640590912,230.99469807468478,HAM
4,287.6151578629095,292.97777639055903,HAM
5,290.6814715398347,300.29801192727274,HAM
6,141.15322342423335,153.2458182959495,HAM
7,141.96428748914244,139.10505835249214,PER
8,144.4972546646634,141.05861972349715,PER
9,185.86141092519284,183.62050710925206,PER
10,126.47965323294484,132.91321470902423,HAM
11,134.01803228170377,126.34648897344516,PER
12,159.1155727659925,153.35170564557097,PER
13,268.3196016,264.5568208965581,PER
14,291.5655328872727,293.50860130042514,HAM
15,153.67033619285465,156.31268100661728,HAM
16,198.3857854004535,212.5455608460991,HAM
17,169.6176796624409,164.75302205059583,PER
18,271.22630585778086,267.9968257108225,PER
19,295.9567183610582,296.4187377694851,HAM
20,311.12344105187304,309.3082460561144,PER
21,319.3966228710559,317.7622441076023,PER
22,323.47604169356725,322.52756592842104,PER
23,325.89923274816056,325.3209326526984,PER
24,326.56804686,323.65474053862437,PER
25,327.0,318.08703691851855,PER
