Minisector,RUS,HAM,Fastest
0,295.11083703161904,298.3446192722404,HAM
1,311.3297949103399,310.54505684734403,RUS
2,320.7392387370308,316.8137854317488,RUS
3,316.6348874856079,306.92404150462085,RUS
4,145.131477793167,162.34248610809524,HAM
5,205.018384451046,205.00359932759105,RUS
6,230.79356526222224,227.2898267337636,RUS
7,261.902409587134,261.7982256812908,RUS
8,235.12980182177517,238.85904713460317,HAM
9,158.00816452407474,153.53964665837495,RUS
10,215.27150331455525,219.45901003290044,HAM
11,127.3544479260937,126.69312467842519,RUS
12,226.64937859635313,225.8706096945846,RUS
13,172.37901603374627,174.4531926579634,HAM
14,213.95977506170274,220.03666052185355,HAM
15,223.55215767785725,222.3568253004329,RUS
16,256.13579879575303,250.953591362406,RUS
17,273.5182543714927,277.10925638338824,HAM
18,146.47321393471165,153.7863333043171,HAM
19,168.25805895294263,169.93039089334826,HAM
20,140.64697536174148,136.75528509705057,RUS
21,150.91923913189734,154.2199593268376,HAM
22,106.66004126350431,111.11671558903043,HAM
23,216.2973295533041,213.30779146627594,RUS
24,263.5794406685041,260.7959475242774,RUS
25,,275.0947912,HAM
