Minisector,RAI,OCO,Fastest
0,272.0035715809524,263.4464423883422,RAI
1,137.34774477781704,125.25379858083234,RAI
2,187.58442363597885,196.53593351303692,OCO
3,244.21888737457954,247.83898644016818,OCO
4,261.9355166359383,259.3500801100177,RAI
5,183.5554456931743,170.09047679999998,RAI
6,143.16874263459772,139.8488961433954,RAI
7,177.03739844276328,182.1446056055322,OCO
8,101.86926809196763,102.90476983424813,OCO
9,75.04137355276536,73.37096645757187,RAI
10,90.92205229227834,94.29561882639591,OCO
11,167.55453957503417,178.1985392877548,OCO
12,245.12979209403463,245.4385529339279,OCO
13,270.8265695419545,271.0755046362055,OCO
14,277.5648530657508,281.0437978139194,OCO
15,110.52155754285714,110.32335107754302,RAI
16,140.33200407968877,145.16926739846346,OCO
17,193.12688209309542,182.41059147282493,RAI
18,195.18234138910748,192.77100886660455,RAI
19,218.38942774986938,206.35039611540827,RAI
20,128.89096788510062,127.94541383695228,RAI
21,120.81609021968254,111.12393188303243,RAI
22,89.07107711916576,92.20577906018002,OCO
23,190.2494708152048,194.30042834921898,OCO
24,249.96808074285715,252.4105885101166,OCO
