Minisector,ALB,SAI,Fastest
0,276.18247177777187,272.4310604121212,ALB
1,293.1433332584734,289.91052706505246,ALB
2,292.7834338285714,288.2929672281157,ALB
3,127.12613936225203,126.10892635289521,ALB
4,210.95503602051284,215.17869412884946,SAI
5,256.7246216242424,245.69981966708073,ALB
6,147.81626967637158,142.89469242814224,ALB
7,219.7635408,225.4075669763259,SAI
8,266.1055554031746,264.8284364339085,ALB
9,282.62543862857143,275.3562504,ALB
10,244.59380999619046,240.78473100930916,ALB
11,179.6420043784127,171.8364880782416,ALB
12,207.34873087383443,215.80439908834248,SAI
13,144.86030739649124,136.72447906666667,ALB
14,185.50104923180095,187.95840692316835,SAI
15,173.42693604236487,174.98735061904762,SAI
16,226.82430647890575,241.44328560773718,SAI
17,238.49231395776397,231.6194095897203,ALB
18,245.93613618721517,258.5966685118863,SAI
19,233.52066151111111,161.63802286251575,ALB
20,152.29081397767243,177.88219889294237,SAI
21,135.76382371837494,126.81097660243633,ALB
22,182.98762036457967,169.98563987142856,ALB
23,156.8635844455756,181.29574274006106,SAI
24,237.24289340874776,249.56145776969697,SAI
