Minisector,VER,PER,Fastest
0,298.6266713405709,301.8379700522637,PER
1,240.8839929826581,235.6408148024593,VER
2,130.60047894460192,130.23524491928143,VER
3,239.0675018225067,238.03772721214156,VER
4,192.2223718805054,190.96880304921362,VER
5,237.87943287085318,239.0869839826601,PER
6,220.9324770080366,228.30097648457104,PER
7,250.42341035205936,253.70919603617062,PER
8,282.6522669186674,289.2568910873844,PER
9,215.76498980656524,200.71640987743407,VER
10,203.62311413760142,202.74993926521006,VER
11,270.87286858666664,271.7575212578566,PER
12,210.85413676257008,207.6992226333231,VER
13,249.89667188802986,249.13460020143162,VER
14,291.65989098152136,292.0035922577226,PER
15,307.2516961701587,308.1640708864548,PER
16,313.66813267275336,311.13074221954884,VER
17,243.39580424314872,233.68116622064005,VER
18,261.7644590340663,270.67556566857144,PER
19,296.69912076579675,298.5317615955776,PER
20,310.4394937303167,313.0097865704006,PER
21,312.10321017454544,313.51462060687544,PER
22,147.29671054863724,148.7883494768844,PER
23,228.69244465277342,234.1398306690909,PER
24,285.07696361419914,286.07062523311356,PER
25,294.5374992,,VER
