Minisector,SAI,TSU,Fastest
0,304.53290716625173,295.2670384952381,SAI
1,162.33844776222372,170.05506043639687,TSU
2,168.66404696378868,179.72287350301303,TSU
3,248.71337541511377,255.8535857932919,TSU
4,285.45943443924966,286.18904177132106,TSU
5,237.19201460892563,260.2859697741381,TSU
6,220.48681458039792,232.99379972332815,TSU
7,152.1111901047914,150.98522429670908,SAI
8,224.895093818158,221.95917562094812,SAI
9,282.13157524492715,280.15155615059416,SAI
10,307.2571628830926,300.9138852073213,SAI
11,324.28213809724315,311.78557761134795,SAI
12,336.3413783018155,315.6936173265163,SAI
13,333.2720597002959,315.9466515009524,SAI
14,128.77236647566525,126.4433177214654,SAI
15,118.5881024731895,120.02032988517523,TSU
16,103.61398282094795,101.63889255894463,SAI
17,232.091701562886,228.35514239208777,SAI
18,287.04651540876444,280.0298300154195,SAI
19,314.83402494111647,300.69029870470115,SAI
20,331.4460658831971,311.2417217979798,SAI
21,335.75759540210527,312.4729317688889,SAI
22,117.66826320862619,107.88308077031425,SAI
23,201.47539250370372,209.43378486111828,TSU
24,273.27901637641435,273.5704440495238,TSU
25,292.55,,SAI
