Minisector,VET,NOR,Fastest
0,293.13266808291314,288.55935270915575,VET
1,291.089841,289.17927966546483,VET
2,160.7366017311014,160.66269483275482,VET
3,228.8946813422748,231.66628640728877,NOR
4,279.0420357873408,276.6204600281504,VET
5,298.0433857920888,294.605798215009,VET
6,300.2122220901587,297.1832288075937,VET
7,150.16491350677214,141.6668122089404,VET
8,149.23884907119552,150.56503985249245,NOR
9,256.9792532232225,255.0779598802035,VET
10,289.5372502664214,284.5729690621849,VET
11,296.8205600824849,290.1281084256111,VET
12,143.36987468861622,137.37504226462102,VET
13,210.85597954782608,209.31773175254986,VET
14,263.13362121139954,258.472034770345,VET
15,201.4363040277124,191.9622387123268,VET
16,230.825080408055,227.65852985440165,VET
17,213.3103786843018,204.81152420069975,VET
18,250.39273411672275,250.44578961110378,NOR
19,279.08752382546066,281.4447642724127,NOR
20,294.70278362592757,291.9809415935972,VET
21,257.8117448291518,249.74849572602903,VET
22,224.77196682406816,208.85101215248585,VET
23,215.93297898963382,216.74616042460792,NOR
24,270.98669404547314,269.67445414285714,VET
25,285.97014864543013,,VET
