Minisector,RAI,RIC,Fastest
0,308.40479175111113,297.68928604444443,RAI
1,254.91654167869717,245.5040835835883,RAI
2,204.1495007066052,201.7403957858785,RAI
3,267.26547479307476,265.22476008189625,RAI
4,236.36312486587738,233.33414588500884,RAI
5,121.28774007956196,117.93305319401291,RAI
6,176.63992254920512,178.52998909821372,RIC
7,257.9741112663548,257.2405807938511,RAI
8,289.2022723393939,288.29695540394687,RAI
9,302.6401017078748,301.75758959999996,RAI
10,307.2693273261237,305.51508932571426,RAI
11,235.63422613665628,227.12694272744525,RAI
12,146.0290379088557,149.5614180614612,RIC
13,256.9600074355917,254.6975939378882,RAI
14,289.6422343757576,288.24086610331614,RAI
15,299.82062496,298.15062723031843,RAI
16,297.2168651174603,291.7293651301587,RAI
17,260.84457464250164,253.99410910790496,RAI
18,179.25059471238094,183.56060593939392,RIC
19,189.9864413784979,185.0425117546488,RAI
20,185.30455970142899,178.0080432602631,RAI
21,247.09666756266665,242.6142545086984,RAI
22,128.59535573270475,126.08443442213556,RAI
23,204.38453547618005,201.71430034064517,RAI
24,278.62426105295236,277.32957214891775,RAI
