Minisector,PIA,RUS,Fastest
0,268.82585098209523,269.3410740093871,RUS
1,287.30382239492064,284.88514695314285,PIA
2,293.78607162890756,283.33203643789034,PIA
3,131.24465315861949,127.10073108098764,PIA
4,198.08433210655625,197.9188673344298,PIA
5,255.22358610665668,256.4674740506035,RUS
6,145.2537878290476,149.35286766053144,RUS
7,211.6578684409931,209.88179233108767,PIA
8,258.2722124958025,257.85327157373524,PIA
9,274.82480236270675,278.75017623384616,RUS
10,245.79135031594134,249.38714379682537,RUS
11,185.334931336409,188.4057238391523,RUS
12,198.439878376178,196.58142942367382,PIA
13,141.00388937415917,148.7070411109524,RUS
14,178.74901341619446,177.53028649389537,PIA
15,166.6338278179069,166.57785828053332,PIA
16,222.01180117267083,217.43598154295887,PIA
17,245.17641662464766,241.11642917925928,PIA
18,249.05540953452171,242.76573885791603,PIA
19,241.57097866545732,241.86281386924793,RUS
20,149.91268037284826,147.0761412344198,PIA
21,134.4769294605628,140.36613515805675,RUS
22,169.7085432373788,162.93595275398096,PIA
23,153.8178599268661,158.87224691127378,RUS
24,233.13399026526315,231.0058646653968,PIA
25,258.08571245714285,257.69791466666663,PIA
