Minisector,NOR,MAG,Fastest
0,294.2117937186724,284.1216172393121,NOR
1,301.207126962465,292.1536277,NOR
2,155.50468220951242,157.04172385550083,MAG
3,224.83310162956167,219.66217645072683,NOR
4,278.99353406079285,268.52892145080006,NOR
5,304.986836425172,288.8859049698178,NOR
6,316.0276189053968,294.9368444708571,NOR
7,156.53459676013824,183.50124226716386,MAG
8,119.46178930594982,120.70564577522408,MAG
9,252.257695944127,241.86379423216772,NOR
10,295.08740820076446,281.2540841657143,NOR
11,310.76744778197974,289.6524709301961,NOR
12,137.65973546250595,147.20248886290221,MAG
13,185.9929044524047,184.63058955698747,NOR
14,252.07123442339181,252.02765823595846,NOR
15,197.54506435046653,207.6450841331677,MAG
16,212.95109455878932,206.98684235469992,NOR
17,208.0334356265008,207.20396328314698,NOR
18,241.69997620370927,235.6051910330475,NOR
19,273.5920810663762,270.07853207952286,NOR
20,286.93374703820587,289.8347651,MAG
21,255.1605034806349,265.1963092793214,MAG
22,215.56021890249514,225.2706061552195,MAG
23,198.0184038542422,187.7581060199264,NOR
24,257.80749298885183,252.97180475366187,NOR
25,276.93999872,274.33999872,NOR
