Minisector,ZHO,STR,Fastest
0,274.41245694342524,273.26289717772005,ZHO
1,112.32535023456151,119.69908951017412,STR
2,158.44252981202598,152.7315838035387,ZHO
3,208.09349394086877,207.04113251335173,ZHO
4,158.60992361481675,155.55394438398636,ZHO
5,237.635908871387,237.96740336922304,STR
6,195.69814324878985,207.6605905620194,STR
7,131.19484718682648,134.30822158088554,STR
8,230.6169929727259,224.9709802213654,ZHO
9,277.0416215989814,270.3038985930159,ZHO
10,279.999492004169,269.9238517392089,ZHO
11,140.83002036248644,137.92040109634468,ZHO
12,218.7679910515439,216.8895668647619,ZHO
13,265.0398284304762,265.2644373688889,STR
14,252.81809738308124,257.88796262772485,STR
15,102.58415348655231,100.64635004133527,ZHO
16,215.4644785070763,220.17235837018634,STR
17,271.7316495493965,269.88245369644,ZHO
18,302.0492981853543,290.20718547324674,ZHO
19,318.4797662867647,301.6810536507597,ZHO
20,329.50707177142857,309.0017440511489,ZHO
21,292.27839448134677,259.8896124919786,ZHO
22,146.76176338989384,140.5136371935251,ZHO
23,232.80373418224985,231.83720802878304,ZHO
24,282.8971272814124,274.6513842478153,ZHO
