Minisector,HAM,ERI,Fastest
0,252.2764499640252,250.33742716034314,HAM
1,290.3269870303974,283.2241666666667,HAM
2,185.38478874287924,170.1101319727715,HAM
3,159.52914864352164,161.74160052910054,ERI
4,260.5974490557823,255.01754067623688,HAM
5,271.65946967272725,268.7564935064935,HAM
6,236.12799991466665,228.96414246311554,HAM
7,210.43072007567415,202.00733894213369,HAM
8,159.98677411877117,161.39572012972974,ERI
9,218.94504992168666,211.01570900395114,HAM
10,272.44423558897245,268.98007411519274,HAM
11,135.59558821753257,130.5492415726171,HAM
12,217.5510865280108,211.7845681382716,HAM
13,278.2625,271.9657871896286,HAM
14,301.819366966083,293.21446438095234,HAM
15,311.5833333333333,300.6710528,HAM
16,243.87008281573497,226.23360112242045,HAM
17,130.55225643742477,130.54076452140794,HAM
18,133.8816519284819,130.32534907175017,HAM
19,120.61461632341171,119.45707792574547,HAM
20,228.45427618688726,225.3231142909049,HAM
21,257.0848957333333,255.93990999313263,HAM
22,240.60149724070308,232.24711343589746,HAM
23,218.63837624616974,205.54499038281295,HAM
24,142.3959745739647,133.90625758050942,HAM
25,,219.15625066666666,ERI
