Minisector,HAM,HUL,Fastest
0,275.66680231837364,267.629513591805,HAM
1,294.5587287933422,287.1426885826241,HAM
2,293.11953181241626,285.5124792986921,HAM
3,177.00824405167126,172.87003645231292,HAM
4,117.85342668890338,118.30283676773705,HUL
5,234.91313946627014,233.8730117357493,HAM
6,284.1148951812171,275.7556893450949,HAM
7,299.5001983500997,286.172045547384,HAM
8,173.02286739795736,167.7162465049067,HAM
9,141.3521281141012,136.86246537725756,HAM
10,253.753581263256,245.66977068840572,HAM
11,289.7124617146753,278.2261776926882,HAM
12,300.98430430740717,290.32855245766217,HAM
13,278.17231317158354,272.14077644892285,HAM
14,301.1871547059701,292.5497983358393,HAM
15,302.44219352624077,296.35490424778504,HAM
16,245.56701849358507,237.87250294839995,HAM
17,218.94304936637275,213.58278197011614,HAM
18,281.148342527786,270.75521075228244,HAM
19,308.3456376735651,294.4758598598078,HAM
20,317.67539500926665,300.7670058559283,HAM
21,225.7251809585883,221.9862573574167,HAM
22,260.09609831760685,249.04834683280478,HAM
23,134.38310206022405,137.9729371248786,HUL
24,204.40470848887497,206.0026010486303,HUL
25,245.97095302133192,250.43749866666667,HUL
